,,,count,mean,mean,mean,sum,sum,sum,Transport
,,,Severity,Distance(mi),Duration_Time,Severity,Distance(mi),Duration_Time,Severity,Transport
State,year,month,,,,,,,,
AL,16,6,18,1.8447777777777778,360.0,3.0,33.206,6480.0,54,6180.0
AL,16,7,21,2.8105238095238096,360.0,3.1904761904761907,59.021,7560.0,67,6007.0
AL,16,8,21,1.8933809523809526,360.0,2.9047619047619047,39.761,7560.0,61,6281.0
AL,16,9,15,2.2670000000000003,360.0,2.1333333333333333,34.005,5400.0,32,5633.0
AL,16,10,23,0.8425217391304348,360.0,2.5652173913043477,19.378,8280.0,59,5743.0
AL,16,11,13,0.3780769230769231,360.0,2.3076923076923075,4.915,4680.0,30,5395.0
AL,16,12,24,0.73425,360.0,2.6666666666666665,17.622,8640.0,64,5601.0
AL,17,1,31,0.6240645161290321,360.0,2.4516129032258065,19.345999999999997,11160.0,76,5087.0
AL,17,2,13,0.723076923076923,360.0,2.6923076923076925,9.399999999999999,4680.0,35,5126.0
AL,17,3,25,0.65432,360.0,2.48,16.358,9000.0,62,6047.0
AL,17,4,26,0.49153846153846165,360.0,2.6538461538461537,12.780000000000003,9360.0,69,6095.0
AL,17,5,72,1.0023194444413404,355.69745370370373,2.6805555555555554,72.16699999977651,25610.216666666667,193,6297.0
AL,17,6,69,0.6463043478260866,353.0316425120773,2.710144927536232,44.59499999999998,24359.183333333334,187,6121.0
AL,17,7,138,0.6161449225605072,245.58019323671496,2.782608695652174,85.02799931335,33890.066666666666,384,6008.0
AL,17,8,665,0.4684992463177853,98.28671679197996,2.5849624060150376,311.5519988013272,65360.66666666667,1719,6319.0
AL,17,9,522,0.19336206928635447,76.46912515964246,2.5478927203065136,100.93500016747703,39916.88333333336,1330,5585.0
AL,17,10,385,0.24206493619507527,78.21770562770558,2.6,93.19500043510398,30113.81666666665,1001,5636.0
AL,17,11,334,0.18884730918313175,80.78532934131738,2.5988023952095807,63.07500126716601,26982.300000000003,868,5392.0
AL,17,12,624,0.2441522431961586,60.46872329059828,2.5721153846153846,152.35099975440298,37732.48333333332,1605,5564.0
AL,18,1,761,0.21660841100809455,75.11736749890498,2.5532194480946124,164.83900077715995,57164.31666666669,1943,5101.0
AL,18,2,728,0.18735577113766758,68.50776098901102,2.5398351648351647,136.395001388222,49873.65000000002,1849,4975.0
AL,18,3,1104,0.28022644992590756,69.12051630434772,2.4519927536231885,309.37000071820194,76309.04999999989,2707,5952.0
AL,18,4,1048,0.1643225195309934,67.06889312977101,2.4255725190839694,172.21000046848107,70288.20000000003,2542,6145.0
AL,18,5,1112,0.14589118600190648,54.02862709832135,2.4793165467625897,162.23099883412002,60079.83333333334,2757,6253.0
AL,18,6,957,0.25918286215350994,42.75094043887151,2.515151515151515,248.037999080909,40912.65000000004,2407,6240.0
AL,18,7,769,0.32339011641799875,39.40390117035109,2.5240572171651494,248.68699952544102,30301.59999999999,1941,6105.0
AL,18,8,1166,0.20545454456497692,32.60581761006292,2.441680960548885,239.55999896276307,38018.38333333337,2847,6364.0
AL,18,9,1351,0.17264470921226127,32.18605970885762,2.3626943005181347,233.24300214576496,43483.36666666665,3192,5529.0
AL,18,10,1729,0.10147021398411629,34.87686524002317,2.2689415847310586,175.44199997853707,60302.100000000064,3923,5876.0
AL,18,11,1719,0.1033158818173601,32.05833818111314,2.3205351948807444,177.600000844042,55108.28333333349,3989,5349.0
AL,18,12,1652,0.20624213030847105,32.25396489104114,2.3970944309927362,340.7119992695942,53283.549999999974,3960,5757.0
AL,19,1,1593,0.15630382909457866,32.57189788658718,2.2893910860012556,248.99199974766378,51887.033333333384,3647,5374.0
AL,19,2,1530,0.16449934604528568,33.33226579520699,2.296078431372549,251.6839994492871,50998.3666666667,3513,5029.0
AL,19,3,1806,0.1323510522098826,66.23195828719076,2.3122923588039868,239.02600029104798,119614.91666666653,4176,6039.0
AL,19,4,1754,0.14846009104110314,76.78730520714554,2.274800456100342,260.3989996860949,134684.93333333326,3990,6410.0
AL,19,5,1628,0.12358476648042567,80.9461404586404,2.2813267813267815,201.195999830133,131780.31666666656,3714,6463.0
AL,19,6,1588,0.2747966015066274,79.20124895046183,2.306675062972292,436.3770031925243,125771.58333333339,3663,6391.0
AL,19,7,1502,0.1578854855110532,82.03774966711046,2.270972037283622,237.1439992376019,123220.69999999991,3411,6261.0
AL,19,8,1361,0.20600587947388313,77.89639970609848,2.281410727406319,280.3740019639549,106017.00000000003,3105,6471.0
AL,19,9,1456,0.1499828299417376,73.26279761904767,2.2376373626373627,218.37500039516993,106670.63333333342,3258,5815.0
AL,19,10,1955,0.20794322162028955,74.63519181585656,2.2419437340153454,406.52899826766605,145911.79999999958,4383,6032.0
AL,19,11,1578,0.13761470254898736,74.82749260667514,2.241444866920152,217.15600062230206,118077.78333333335,3537,5530.0
AL,19,12,1488,0.13000806470177145,73.72918906810038,2.243279569892473,193.45200027623594,109709.03333333337,3338,6071.0
AL,20,1,1646,0.12015066874015311,75.07246861077354,2.241190765492102,197.76800074629202,123569.28333333325,3689,5679.0
AL,20,2,1418,0.1635937940656072,77.0691114245416,2.271509167842031,231.975999985031,109283.99999999999,3221,5058.0
AL,20,3,1293,0.4388074242685444,75.98356535189471,2.2598607888631093,567.3779995792279,98246.74999999985,2922,5095.0
AL,20,4,961,0.3150041624722383,71.70237599722513,2.1592091571279917,302.719000135821,68905.98333333335,2075,4102.0
AL,20,5,1341,0.5873482469968158,73.00887397464547,2.2386278896346012,787.6339992227299,97904.89999999957,3002,5393.0
AL,20,6,1592,0.3356438433884781,71.36201842546039,2.2675879396984926,534.3449986744571,113608.33333333295,3610,
AR,16,6,6,1.0943333333333334,360.0,3.0,6.566,2160.0,18,3244.0
AR,16,7,3,1.138,360.0,2.6666666666666665,3.4139999999999997,1080.0,8,3375.0
AR,16,8,2,0.46399999999999997,360.0,2.0,0.9279999999999999,720.0,4,3125.0
AR,16,9,3,0.61,560.0,2.6666666666666665,1.83,1680.0,8,2736.0
AR,16,10,6,0.8450000000000001,360.0,2.0,5.07,2160.0,12,2861.0
AR,16,11,3,0.713,360.0,2.6666666666666665,2.139,1080.0,8,2676.0
AR,16,12,3,0.367,360.0,2.6666666666666665,1.101,1080.0,8,3017.0
AR,17,1,9,3.3665555555555553,360.2037037037037,3.7777777777777777,30.299,3241.8333333333335,34,3040.0
AR,17,2,17,5.183117647058824,360.0,3.4705882352941178,88.113,6120.0,59,2364.0
AR,17,3,15,2.6982,360.0,3.7333333333333334,40.473,5400.0,56,3544.0
AR,17,4,16,1.7008124999999996,360.0,3.6875,27.212999999999994,5760.0,59,2770.0
AR,17,5,4,0.8029999999999999,360.0,4.0,3.2119999999999997,1440.0,16,3205.0
AR,17,7,2,0.0,37.175,2.0,0.0,74.35,4,3164.0
AR,17,8,16,0.56874998658875,32.409375000000004,2.5,9.09999978542,518.5500000000001,40,2966.0
AR,17,9,15,0.09399999777466667,31.42222222222222,2.466666666666667,1.40999996662,471.3333333333333,37,2708.0
AR,17,10,16,1.875624924900625,32.42916666666667,2.5,30.00999879841,518.8666666666667,40,2789.0
AR,17,11,9,0.11333333121444444,34.49444444444445,2.7777777777777777,1.01999998093,310.45000000000005,25,2806.0
AR,17,12,15,0.0084,33.58444444444444,2.6,0.126,503.76666666666665,39,3167.0
AR,18,1,23,1.0421739196778261,203.35797101449276,2.5652173913043477,23.97000015259,4677.233333333334,59,3062.0
AR,18,2,57,1.2679999869501755,230.46315789473684,3.0,72.27599925616,13136.4,171,2072.0
AR,18,3,31,1.2793870967741934,257.3236559139785,2.870967741935484,39.660999999999994,7977.033333333333,89,3461.0
AR,18,4,52,1.5041346315232689,234.27339743589744,3.1923076923076925,78.21500083920998,12182.216666666667,166,2815.0
AR,18,5,47,2.0310851037444677,245.5705673758865,3.0,95.46099987598998,11541.816666666666,141,3263.0
AR,18,6,29,3.2938620946148274,210.45459770114942,2.896551724137931,95.52200074382999,6103.183333333333,84,3259.0
AR,18,7,18,1.1935000071541664,130.22407407407408,2.888888888888889,21.483000128774997,2344.0333333333333,52,3284.0
