Code,Abbrev,16.apr,16.aug,16.dec,16.feb,16.jan,16.jul,16.jun,16.mar,16.may,16.nov,16.oct,16.sep,17.apr,17.aug,17.dec,17.feb,17.jan,17.jul,17.jun,17.mar,17.may,17.nov,17.oct,17.sep,18.apr,18.aug,18.dec,18.feb,18.jan,18.jul,18.jun,18.mar,18.may,18.nov,18.oct,18.sep,19.apr,19.aug,19.dec,19.feb,19.jan,19.jul,19.jun,19.mar,19.may,19.nov,19.oct,19.sep,20.apr,20.feb,20.jan,20.mar,20.may
AL,Ala.,6007,6007,5395,5150,5646,6180,6263,5153,6144,5743,5633,6281,6047,6008,5392,5087,5556,6121,6297,5126,6095,5636,5585,6319,5952,6105,5349,5101,5775,6240,6253,4975,6145,5876,5529,6364,6039,6261,5530,5374,5757,6391,6463,5098,6410,5922,5815,6471,5095,5679,6071,5058,4102
AK,Alaska,407,474,367,362,368,461,492,337,447,434,414,474,397,482,366,354,368,469,499,326,437,437,417,479,397,516,373,355,392,498,526,322,444,470,430,500,439,541,381,362,392,520,553,360,488,478,442,529,355,377,416,357,320
AZ,Ariz.,5937,5151,5170,5470,5814,6068,6211,5494,6259,5380,4918,4764,6038,5135,5318,5586,6046,6104,6344,5484,6388,5470,4975,4752,5954,5409,5390,5717,5982,6027,6351,5506,6401,5626,4871,5121,5787,5688,5023,5798,6314,6111,6673,5460,6572,5607,4867,5233,5122,5656,6102,5626,4265
AR,Ark.,3004,3375,2676,3065,3125,3244,3359,2745,2903,2861,2764,3125,3544,3164,2806,3040,3133,3223,3205,2364,2770,2789,2707,2966,3461,3284,2606,3062,3156,3259,3263,2072,2815,2941,2705,3114,3408,3392,2728,3152,3093,3216,3172,2138,2985,3018,2800,3128,2912,3295,3348,2272,2220
CA,Calif.,29981,32352,34354,24667,32791,32365,30129,25229,31685,31770,27731,32221,28940,30725,33156,23997,32108,31176,29476,23735,31267,31213,26332,30898,28313,30228,32119,25629,32362,30901,29251,24411,31227,31964,25366,30158,28243,30789,31617,25741,32333,30500,28595,23914,31193,32068,26237,30448,22454,24653,32615,24320,18389
CO,Colo.,4621,4474,3993,4401,4209,4337,4424,3861,4486,4596,4518,4890,4863,4466,4054,4429,4330,4393,4553,3985,4561,4555,4490,4922,5062,4479,3869,4740,4443,4408,4610,3869,4817,4603,4521,5007,4675,4624,3811,4705,4464,4346,4528,3806,4808,4640,4646,5068,3670,4642,4387,3784,2757
CT,Conn.,2593,2872,2692,2417,2568,2813,2857,2265,2538,2842,2695,2876,2493,2853,2746,2456,2544,2855,2918,2274,2571,2864,2715,2865,2325,2900,2656,2360,2558,2784,2942,2166,2495,2909,2701,2806,2509,2922,2644,2364,2636,2681,2899,2168,2494,2864,2687,2799,1841,2412,2547,2167,1267
DE,Del.,784,1028,753,694,763,1020,825,699,818,856,945,956,784,1033,749,711,768,1049,837,720,830,863,958,962,734,1005,764,719,761,1032,875,679,823,893,952,962,786,1014,768,731,789,1014,904,673,861,863,987,993,655,748,781,689,487
DC,D.C.,307,227,277,285,295,341,307,224,294,302,329,362,296,226,288,306,300,301,292,206,296,329,337,363,291,246,292,362,313,332,329,245,313,347,360,326,349,266,284,349,313,349,351,240,357,310,371,360,378,331,307,242,186
FL,Fla.,19732,18378,17890,18304,17702,18031,18807,16772,18366,18877,17294,18165,19593,18010,17858,18167,17640,17655,18701,16616,18143,18618,16644,18097,20327,18623,18401,18637,18083,18485,18985,17173,18534,19678,17516,18838,20500,19050,18170,19349,18320,18617,19701,17439,19151,19521,18077,18692,16479,19697,19023,17414,11102
